location,time_step,loss_of_load
NED,1,7510.043594147301
SWE,1,3996.17723965384
NED,2,7264.855962422
SWE,2,3756.43204016035
NED,3,6848.630184372199
SWE,3,3464.5247052122104
NED,4,6409.665230799401
SWE,4,3176.62984222212
NED,5,6139.7611039405
SWE,5,3133.4957686730904
NED,6,6121.9652274443
SWE,6,3279.9509951419104
NED,7,6255.4343011657
SWE,7,3691.22937084204
NED,8,6551.043582963601
SWE,8,4010.2208915070196
NED,9,6807.106472547701
SWE,9,4143.63558411218
NED,10,7153.137404418099
SWE,10,4366.327777777778
NED,11,7689.979678719899
SWE,11,4770.584327557501
NED,12,8157.615766647699
SWE,12,5094.59143817004
NED,13,8290.0961805638
SWE,13,5351.3896434852395
NED,14,8347.4384492737
SWE,14,5498.84798794358
NED,15,8405.769377789
SWE,15,5733.57759748951
NED,16,8381.0528826554
SWE,16,6200.027462612819
NED,17,8816.0631970068
SWE,17,6506.9815674037
NED,18,9952.0333133471
SWE,18,6533.062635131
NED,19,10022.2281595265
SWE,19,6287.29872770041
NED,20,9856.1333122287
SWE,20,5930.188723433959
NED,21,9499.2271224995
SWE,21,5439.664026562339
NED,22,8962.3848481977
SWE,22,4879.924188414359
NED,23,8318.7673149187
SWE,23,4256.9879169271
NED,24,7565.4085432466
SWE,24,3562.83026818444
NED,25,6930.6889482157
SWE,25,3072.3055713128197
NED,26,6451.188942623799
SWE,26,2817.5136019766496
NED,27,6158.545640242
SWE,27,2689.11449931904
NED,28,6059.679659707601
SWE,28,2673.0646114868496
NED,29,6116.0332686122
SWE,29,2752.31093265833
NED,30,6446.2456435971
SWE,30,3306.03206286924
NED,31,7258.9240035899
SWE,31,4285.07522063345
NED,32,8368.2003051859
SWE,32,5334.3366376635295
NED,33,9495.2724832781
SWE,33,5992.3820387837295
NED,34,10360.3498129542
SWE,34,6312.37667743822
NED,35,10792.3941478895
SWE,35,6613.312074292
NED,36,10838.8611587407
SWE,36,6788.8577224567
NED,37,10653.9817751414
SWE,37,6785.848368488099
NED,38,10525.4560004466
SWE,38,6765.7860086979
NED,39,10475.0343503741
SWE,39,6906.2225272296
NED,40,10446.3632160191
SWE,40,7411.7939939439
NED,41,10757.791054702499
SWE,41,7907.3342807631
NED,42,12046.014781065802
SWE,42,8001.6273717773
NED,43,11698.006529584702
SWE,43,7701.695092913
NED,44,11239.268379905
SWE,44,7265.338767475099
NED,45,10599.6054858474
SWE,45,6639.3931420193
NED,46,9764.1879503317
SWE,46,6028.4942864061795
NED,47,8982.1580443046
SWE,47,5377.470711212571
NED,48,8274.2776236783
SWE,48,4781.618625442139
NED,49,7482.361119597699
SWE,49,4187.77277565073
NED,50,6925.745649189001
SWE,50,3819.6284734996398
NED,51,6528.304407440701
SWE,51,3679.1919549678896
NED,52,6323.6518277345
SWE,52,3710.28861264278
NED,53,6267.298218829899
SWE,53,3702.2636687266804
NED,54,6471.9507985361
SWE,54,3978.1211158426204
NED,55,6879.278638337801
SWE,55,4495.72999843107
NED,56,7590.1250383802
SWE,56,5070.516606421739
NED,57,8602.5126790525
SWE,57,5498.84798794358
NED,58,9589.1951647858
SWE,58,5935.2043133815205
NED,59,10243.6879559236
SWE,59,6415.697830358
NED,60,10526.444660252
SWE,60,6569.174882753399
NED,61,10572.9116711031
SWE,61,6480.9004996763
NED,62,10417.6920816641
SWE,62,6398.644824536301
NED,63,10335.6333178206
SWE,63,6521.0252192568005
NED,64,10308.9395030763
SWE,64,7144.9646087336005
NED,65,10699.4601261872
SWE,65,7976.549422039499
NED,66,11405.3632272028
SWE,66,8168.144958036401
NED,67,11107.7766257943
SWE,67,7912.349870710699
NED,68,10648.0498163093
SWE,68,7425.837645797101
NED,69,10031.1260977746
SWE,69,6899.200701303
NED,70,9331.154955591
SWE,70,6391.62299860971
NED,71,8662.8209271785
SWE,71,5774.705435059521
NED,72,7958.8951457735
SWE,72,5175.843995320551
NED,73,7308.3569938571
SWE,73,4681.306826490891
NED,74,6773.492039166
SWE,74,4479.68011059887
NED,75,6414.6085298261005
SWE,75,4369.3371317525
NED,76,6252.4683217497
SWE,76,4369.3371317525
NED,77,6197.103372650399
SWE,77,4435.54291906032
NED,78,6269.275538440501
SWE,78,4572.97008362354
NED,79,6450.2002828184995
SWE,79,4939.1081497956
NED,80,6896.085855028699
SWE,80,5457.7201503735705
NED,81,7492.2477176511
SWE,81,5876.02035200028
NED,82,8081.4889616362
SWE,82,6333.44215521799
NED,83,8625.2518545754
SWE,83,6828.982442037201
NED,84,8911.9631981252
SWE,84,7047.6621637509
NED,85,9061.2508287321
SWE,85,6948.3534827892
NED,86,8931.736394232
SWE,86,6892.1788753764995
NED,87,8819.0291764228
SWE,87,7027.5998039606
NED,88,8859.5642284419
SWE,88,7722.760570692801
NED,89,9283.6992849345
SWE,89,8733.9035041214
NED,90,10760.757034118498
SWE,90,8985.6861194891
NED,91,10840.838478351401
SWE,91,8847.2558369363
NED,92,10614.4353829276
SWE,92,8549.3297940511
NED,93,10079.5704282365
SWE,93,7996.611781829701
NED,94,9379.5992860529
SWE,94,7487.027843157401
NED,95,8682.5941232853
SWE,95,6667.4804457257
NED,96,7810.596174971901
SWE,96,6068.619005986689
NED,97,7154.126064223499
SWE,97,5557.028831335299
NED,98,6719.1157498721
SWE,98,5308.255569936209
NED,99,6506.553891723101
SWE,99,5168.8221693939595
NED,100,6461.0755406773005
SWE,100,5249.07160855497
NED,101,6578.7260575132
SWE,101,5454.71079640503
NED,102,7009.7817326432
SWE,102,6089.68448376645
NED,103,8412.6899964264
SWE,103,7274.3668293807
NED,104,10578.8436299352
SWE,104,8653.6540649604
NED,105,12103.3570497757
SWE,105,9394.9582592102
NED,106,12471.1384973637
SWE,106,9557.4633735112
NED,107,12570.0044778981
SWE,107,9719.9684878122
NED,108,12738.076644806599
SWE,108,9729.9996677073
NED,109,12695.564273176798
SWE,109,9418.029972969
NED,110,12780.5890164364
SWE,110,9341.793005766
NED,111,12685.6776751234
SWE,111,9488.2482322348
NED,112,12652.0632417417
SWE,112,10141.2780434075
NED,113,13029.7312873831
SWE,113,10791.2985006116
NED,114,13577.4488195437
SWE,114,10797.3172085486
NED,115,12860.670460669298
SWE,115,10450.2383841773
NED,116,12293.1797324018
SWE,116,9922.5983216937
NED,117,11547.7302391724
SWE,117,9396.9644951892
NED,118,10655.959094752
SWE,118,8867.3181967266
NED,119,9620.8322785568
SWE,119,8059.808215169
NED,120,8584.7168025563
SWE,120,7141.9552547651
NED,121,7720.628132685601
SWE,121,6432.750836179701
NED,122,7197.6270956585995
SWE,122,6166.92456895891
NED,123,6939.5868864638
SWE,123,5893.073357822001
NED,124,6846.6528647615
SWE,124,5705.490293783159
NED,125,6927.7229687997005
SWE,125,5820.848862577101
NED,126,7352.8466850976
SWE,126,6046.550410217411
NED,127,8628.2178339914
SWE,127,6620.3339002186
NED,128,10928.829201027002
SWE,128,7369.6630383844
NED,129,12328.771485394202
SWE,129,7797.994419906199
NED,130,12659.972520184401
SWE,130,8138.051418351
NED,131,12665.904479016499
SWE,131,8413.9088654669
NED,132,12552.2086014019
SWE,132,8596.4763395582
NED,133,12335.692104031601
SWE,133,8653.6540649604
NED,134,12370.295197218598
SWE,134,8646.6322390338
NED,135,12413.7962286537
SWE,135,8765.0001617963
NED,136,12469.161177753002
SWE,136,9393.9551412206
NED,137,12820.135408650101
SWE,137,9798.2116909942
NED,138,13615.0178921468
SWE,138,9969.7448672008
NED,139,12838.9199449517
SWE,139,9572.5101433539
NED,140,12354.476640333101
SWE,140,9105.057160241
NED,141,11527.9570430655
SWE,141,8417.921337425
NED,142,10613.4467231223
SWE,142,7620.4425357625005
NED,143,9570.4106284843
SWE,143,6793.873312404199
NED,144,8580.7621633349
SWE,144,6009.4350446054505
NED,145,7774.0157621742
SWE,145,5458.723268363079
NED,146,7237.1734878724
SWE,146,5279.1651482403395
NED,147,6980.1219384829
SWE,147,5134.716157750539
NED,148,6897.074514833999
SWE,148,5218.97806886959
NED,149,6950.462144322601
SWE,149,5518.91034773383
NED,150,7388.438438089999
SWE,150,6288.30184568993
NED,151,8697.4240203655
SWE,151,8050.7801532634
NED,152,10877.4188911491
SWE,152,9876.4548941762
NED,153,12287.2477735697
